,Chemical,Url,Dates,Uses
813,Paclobutrazol,https://oehha.ca.gov/chemicals/paclobutrazol,[],plant growth retardant and triazole fungicide
814,Palygorskite fibers (> 5µm in length),https://oehha.ca.gov/chemicals/palygorskite-fibers-5um-length,['12/28/1999'],[]
815,Panfuran S,https://oehha.ca.gov/chemicals/panfuran-s,['01/01/1988'],[]
816,Para-Nitroanisole,https://oehha.ca.gov/chemicals/para-nitroanisole,['09/13/2019'],[]
817,Paramethadione,https://oehha.ca.gov/chemicals/paramethadione,['07/01/1990'],[]
818,Paraquat,https://oehha.ca.gov/chemicals/paraquat,[],Herbicide
819,Parathion,https://oehha.ca.gov/chemicals/parathion,['05/20/2016'],organophospate insecticide
820,"2,3,4,4',5-PeCB",https://oehha.ca.gov/chemicals/23445-pecb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
821,"2,3',4,4',5-PeCB",https://oehha.ca.gov/chemicals/23445-pecb-0,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
822,"2',3,4,4',5-PeCB",https://oehha.ca.gov/chemicals/23445-pecb-1,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
823,"3,3',4,4',5-PeCB",https://oehha.ca.gov/chemicals/33445-pecb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
824,"2,3,3',4,4'-PeCB",https://oehha.ca.gov/chemicals/23344-pecb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
825,Pendimethalin,https://oehha.ca.gov/chemicals/pendimethalin,[],herbicide
826,Penicillamine,https://oehha.ca.gov/chemicals/penicillamine,['01/01/1991'],[]
827,Pentabromodiphenyl ether mixture [DE-71 (technical grade)],https://oehha.ca.gov/chemicals/pentabromodiphenyl-ether-mixture-de-71-technical-grade,['07/07/2017'],[]
828,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",https://oehha.ca.gov/chemicals/12378-pentachlorodibenzo-p-dioxin,[],OEHHA 2009. Air Toxics Hot Spots Program Technical Support Document for Cancer Potencies. Appendix B. Chemical-specific summaries of the information used to derive unit risk and cancer potency values. Updated 2011.
829,"2,3,4,7,8-Pentachlorodibenzofuran",https://oehha.ca.gov/chemicals/23478-pentachlorodibenzofuran,[],"Found in smoke emissions, byproduct of chemical synthesis"
830,"1,2,3,7,8-Pentachlorodibenzofuran",https://oehha.ca.gov/chemicals/12378-pentachlorodibenzofuran,[],"Found in smoke emissions, byproduct of chemical synthesis"
831,Pentachlorophenol,https://oehha.ca.gov/chemicals/pentachlorophenol,['01/01/1990'],"Wood preservative in specified outdoor applications, such as utility poles. No longer registered as a pesticide in California."
832,Pentachlorophenol and by-products of its synthesis (complex mixture),https://oehha.ca.gov/chemicals/pentachlorophenol-and-products-its-synthesis-complex-mixture,['10/21/2016'],[]
833,Pentobarbital Sodium,https://oehha.ca.gov/chemicals/pentobarbital-sodium,['07/01/1990'],[]
834,Pentosan Polysulfate Sodium,https://oehha.ca.gov/chemicals/pentosan-polysulfate-sodium,['04/18/2014'],[]
835,Pentostatin,https://oehha.ca.gov/chemicals/pentostatin,['09/01/1996'],[]
836,Perchlorate,https://oehha.ca.gov/chemicals/perchlorate,[],"For chemical-specific screening levels for use in assessing contaminated sites, please see HHRA Note 3 (DTSC HERO). https://www.dtsc.ca.gov/assessingrisk/humanrisk2.cfm"
837,Perfluorooctane Sulfonate (PFOS),https://oehha.ca.gov/chemicals/perfluorooctane-sulfonate-pfos,['11/10/2017'],Used in surface protection products such as carpet and clothing treatments and coating for paper and cardboard packaging. They have also been used in fire-fighting foams.
838,Perfluorooctanoic Acid (PFOA),https://oehha.ca.gov/chemicals/perfluorooctanoic-acid-pfoa,['11/10/2017'],[]
839,Permethrin,https://oehha.ca.gov/chemicals/permethrin,[],"insecticide, acaricide, and insect repellent"
840,Pertuzumab,https://oehha.ca.gov/chemicals/pertuzumab,['01/27/2017'],[]
841,Phenacemide,https://oehha.ca.gov/chemicals/phenacemide,['07/01/1990'],[]
842,Phenacetin,https://oehha.ca.gov/chemicals/phenacetin,['10/01/1989'],Medicine (analgesic and antipyretic); stabilizes hydrogen peroxide for hair bleaching preparation
843,Phenazopyridine,https://oehha.ca.gov/chemicals/phenazopyridine,['01/01/1988'],"Medicine (urinary analgesic, antiseptic), veterinary medicine"
844,Phenazopyridine Hydrochloride,https://oehha.ca.gov/chemicals/phenazopyridine-hydrochloride,['01/01/1988'],"Medicine: analgesic in urinary tract, treat infections of mouth and conjunctiva; veterinary medicine (urinary analgesic)"
845,Phenelzine and its acid salts,https://oehha.ca.gov/chemicals/phenelzine-and-its-acid-salts,[],Drug; antidepressant and anxiolytic agent
846,Phenesterin,https://oehha.ca.gov/chemicals/phenesterin,['07/01/1989'],Medicine (antineoplastic)
847,Phenobarbital,https://oehha.ca.gov/chemicals/phenobarbital,['01/01/1990'],"Medicine (sedative), laboratory reagent. Also available as the sodium salt which has good water-solubility"
848,Phenol,https://oehha.ca.gov/chemicals/phenol,[],"Industrial and medical disinfectant; chemical intermediate in manufacture of synthetic fibers, epoxy, and other resins; solvent for petroleum refining; component of coal tar, tobacco smoke, and motor vehicle emissions"
849,Phenolphthalein,https://oehha.ca.gov/chemicals/phenolphthalein,['05/15/1998'],[]
850,Phenoxybenzamine,https://oehha.ca.gov/chemicals/phenoxybenzamine,['04/01/1988'],Medicine (alpha-adrenergic receptor blocker with prolonged action)
851,Phenoxybenzamine Hydrochloride,https://oehha.ca.gov/chemicals/phenoxybenzamine-hydrochloride,['04/01/1988'],Medicine (antihypertensive)
852,Phenprocoumon,https://oehha.ca.gov/chemicals/phenprocoumon,['10/01/1992'],[]
853,Phenyl Glycidyl Ether,https://oehha.ca.gov/chemicals/phenyl-glycidyl-ether,"['10/01/1990', '08/07/2009']","Reactive modifier in epoxy resin systems for protective coatings, plastic laminates, bonding materials, and floorings"
854,o-Phenylenediamine and its salts,https://oehha.ca.gov/chemicals/o-phenylenediamine-and-its-salts,['05/15/1998'],"Chemical intermediate in synthesis of fungicides, corrosion inhibitors, pigments, and pharmaceuticals; analytical reagent; remove elemental sulfur in mining ores and aldehyde color formers in polymeric producs."
855,o-Phenylenediamine Dihydrochloride,https://oehha.ca.gov/chemicals/o-phenylenediamine-dihydrochloride,[],Medicine/biochemistry (ELISA)
856,Phenylhydrazine,https://oehha.ca.gov/chemicals/phenylhydrazine,['07/01/1992'],"Chemical intermediate in synthesis of dyes and pharmaceuticals; research chemical (induces acute hemolytic anemia); reagent in production of sugars, aldehydes, and ketones; reducing agent"
857,Phenylhydrazine Hydrochloride,https://oehha.ca.gov/chemicals/phenylhydrazine-hydrochloride,[],"Chemical intermediate in production of dyes, nitron, antipyrine, and pharmaceuticals; reagent and reducing agent"
858,"o-Phenylphenate, Sodium",https://oehha.ca.gov/chemicals/o-phenylphenate-sodium,['01/01/1990'],"Fungicide, mold inhibitor, preservative"
859,o-Phenylphenol,https://oehha.ca.gov/chemicals/o-phenylphenol,['08/04/2000'],[]
860,Phenylphosphine,https://oehha.ca.gov/chemicals/phenylphosphine,['08/07/2009'],"The general endpoint of male reproductive toxicity identified by the DARTIC was also the endpoint that supported the original listing on August 7, 2009. Due to a typographical error, the Proposition 65 list had incorrectly stated the general endpoint as developmental toxicity."
861,"PhiP(2-Amino-1-methyl-6-phenylimidazol(4,5-b)pyridine)",https://oehha.ca.gov/chemicals/phip2-amino-1-methyl-6-phenylimidazol45-bpyridine,['10/01/1994'],[]
862,Phosgene,https://oehha.ca.gov/chemicals/phosgene,[],"Chemical intermediate in production of aniline dyes, polymeric isocyanates, insecticides, pharmaceuticals, and metallurgy; degradation product of chloropicrin; formerly used as choking agent in chemical warfare (WWI and WWII)"
863,Phosphine,https://oehha.ca.gov/chemicals/phosphine,[],"Pesticide (fumigant), chemical intermediate (organophosphorus chemistry)"
864,Phosphoric Acid,https://oehha.ca.gov/chemicals/phosphoric-acid,[],"Reagent or chemical intermediate in production of fertilizers, waxes, polishers, and detergents; rust converter for polishing or corrosion resistance, electropolishing, food preservative, flavor enhancer, coagulant, pH adjuster in cosmetics"
865,Phthalic Anhydride,https://oehha.ca.gov/chemicals/phthalic-anhydride,[],"Monomer for synthetic resins; chemical intermediate in production of phthalate esters, and dyes; organic synthesis; medicine (enteric coatings)"
866,Picloram,https://oehha.ca.gov/chemicals/picloram,[],Herbicide
867,Pimozide,https://oehha.ca.gov/chemicals/pimozide,"['08/20/1999', '08/20/1999']",[]
868,Pioglitazone,https://oehha.ca.gov/chemicals/pioglitazone,['04/18/2014'],[]
869,Pipobroman,https://oehha.ca.gov/chemicals/pipobroman,['07/01/1990'],[]
870,Pirimicarb,https://oehha.ca.gov/chemicals/pirimicarb,['07/01/2008'],[]
871,Plicamycin,https://oehha.ca.gov/chemicals/plicamycin,['04/01/1990'],[]
872,Poligeenan (Polygeenan),https://oehha.ca.gov/chemicals/poligeenan-polygeenan,['01/01/1988'],[]
873,Polybrominated Biphenyls,https://oehha.ca.gov/chemicals/polybrominated-biphenyls,"['01/01/1988', '10/01/1994']","Formerly used as flame retardant in synthetic fibers, lacquers, and molded plastics. Manufacture in US stopped in 1976."
874,Polychlorinated Biphenyls,https://oehha.ca.gov/chemicals/polychlorinated-biphenyls,"['10/01/1989', '01/01/1991']",Formerly used in dielectric and coolant fluids; US manufacture banned in 1979
875,Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),https://oehha.ca.gov/chemicals/polychlorinated-biphenyls-containing-60-or-more-percent-chlorine-molecular-weight,['01/01/1988'],'Polychlorinated biphenyls' listed separately.
876,Polychlorinated Dibenzo-p-dioxins,https://oehha.ca.gov/chemicals/polychlorinated-dibenzo-p-dioxins,['10/01/1992'],[]
877,Polychlorinated Dibenzofurans,https://oehha.ca.gov/chemicals/polychlorinated-dibenzofurans,['10/01/1992'],[]
878,Polymeric Methylene Diphenyl Diisocyanate,https://oehha.ca.gov/chemicals/polymeric-methylene-diphenyl-diisocyanate,[],Production of rigid polyurethane
879,Ponceau 3R,https://oehha.ca.gov/chemicals/ponceau-3r,['04/01/1988'],"Dye for wool, biological stain. Banned by the FDA for use in food (1960) and externally applied drugs or cosmetics (1966) in the US."
880,Ponceau MX,https://oehha.ca.gov/chemicals/ponceau-mx,['04/01/1988'],"Dye for textiles, leather, ink, paper, wood, and food. Use as dye for drugs and cosmetics cancelled in the US in 1966."
881,Potassium Bromate,https://oehha.ca.gov/chemicals/potassium-bromate,['01/01/1990'],"Laboratory reagent, oxidizer (food additive to fortify flour, permanent wave neutralizing solution, textile dyeing)"
882,Potassium Cyanide,https://oehha.ca.gov/chemicals/potassium-cyanide,[],[]
883,Potassium Dimethyldithiocarbamate,https://oehha.ca.gov/chemicals/potassium-dimethyldithiocarbamate,['03/30/1999'],"Pesticide; industrial water treatment, rubber manufacture"
884,Pravastatin Sodium,https://oehha.ca.gov/chemicals/pravastatin-sodium,['03/03/2000'],[]
885,Prednisolone Sodium Phosphate,https://oehha.ca.gov/chemicals/prednisolone-sodium-phosphate,['08/20/1999'],[]
886,Premarin,https://oehha.ca.gov/chemicals/premarin,[],Drug/therapeutic agent; conjugated estrogens used as estrogen replacement therapy
887,Primidone,https://oehha.ca.gov/chemicals/primidone,['08/20/1999'],[]
888,Procarbazine,https://oehha.ca.gov/chemicals/procarbazine,['01/01/1988'],"Medicine (antineoplastic- Hodgkin's lymphoma, brain cancers), veterinary medicine"
889,Procarbazine Hydrochloride,https://oehha.ca.gov/chemicals/procarbazine-hydrochloride,"['01/01/1988', '07/01/1990']",Medicine (chemotherapy drug)
890,Procymidone,https://oehha.ca.gov/chemicals/procymidone,['10/01/1994'],[]
891,Progesterone,https://oehha.ca.gov/chemicals/progesterone,['01/01/1988'],[]
892,Pronamide,https://oehha.ca.gov/chemicals/pronamide,['05/01/1996'],[]
893,Propachlor,https://oehha.ca.gov/chemicals/propachlor,['02/27/2001'],[]
894,"1,3-Propane Sultone",https://oehha.ca.gov/chemicals/13-propane-sultone,['01/01/1988'],Chemical intermediate to introduce the sulfopropyl group into molecules and confer water solubility and anionic character
895,Propargite,https://oehha.ca.gov/chemicals/propargite,"['10/01/1994', '06/15/1999']",[]
896,Propazine,https://oehha.ca.gov/chemicals/propazine,"['07/15/2016', '07/15/2016']",pesticide
897,Propetamphos,https://oehha.ca.gov/chemicals/propetamphos,[],"insecticide designed to control cockroaches, flies, ants, ticks, moths, fleas and mosquitoes on contact"
898,beta-Propiolactone,https://oehha.ca.gov/chemicals/beta-propiolactone,['01/01/1988'],"Chemical intermediate in chemical synthesis; medicine (disinfectant for vaccines, tissue grafts, blood plasma, etc.)"
899,Propoxur,https://oehha.ca.gov/chemicals/propoxur,['08/11/2006'],[]
900,n-Propylbenzene,https://oehha.ca.gov/chemicals/n-propylbenzene,[],"manufacture of cumene and methylstyrene, and in textile dyeing and printing"
901,Propylene,https://oehha.ca.gov/chemicals/propylene,[],"Production of polypropylene; chemical intermediate in production of plastics, foams, and resins; aerosol propellant"
902,"Propylene Glycol Butyl Ether Ester (of 2,4-D)",https://oehha.ca.gov/chemicals/propylene-glycol-butyl-ether-ester-24-d,[],Herbicide
903,Propylene Glycol Mono-t-butyl Ether,https://oehha.ca.gov/chemicals/propylene-glycol-mono-t-butyl-ether,['06/11/2004'],[]
904,Propylene Glycol Monomethyl Ether,https://oehha.ca.gov/chemicals/propylene-glycol-monomethyl-ether,[],"Solvent for cellulose, acrylics, dyes, inks, and stains; lacquers and paints"
905,Propylene Oxide,https://oehha.ca.gov/chemicals/propylene-oxide,['10/01/1988'],"Fumigant (almonds, pistachios), preparation of biological samples, herbicide component; production of polyurethane plastics, polyester resins, solvent, preservatives, de-icing fluid, liquid for electronic cigarettes. Has been used as racing fuel and glow fuel. Component of tobacco smoke"
906,Propyleneimine,https://oehha.ca.gov/chemicals/propyleneimine,['01/01/1988'],"Chemical intermediate in paper, textile, rubber, and pharmaceutical industries; rocket fuel modifier"
907,Propylthiouracil,https://oehha.ca.gov/chemicals/propyl-thiouracil,"['01/01/1988', '07/01/1990']",Medicine (thyroid inhibitor)
908,Pulegone,https://oehha.ca.gov/chemicals/pulegone,['04/18/2014'],[]
909,Pymetrozine,https://oehha.ca.gov/chemicals/pymetrozine,['03/22/2011'],[]
910,Pyrazachlor,https://oehha.ca.gov/chemicals/pyrazachlor,['08/25/2015'],"Pyrazachlor is not registered for use in the United States or the European Union. At one time, it was proposed for use as a growth regulator on citrus."
911,Pyridine,https://oehha.ca.gov/chemicals/pyridine,['05/17/2002'],[]
912,Pyrimethamine,https://oehha.ca.gov/chemicals/pyrimethamine,['01/29/1999'],[]
913,Quazepam,https://oehha.ca.gov/chemicals/quazepam,['08/26/1997'],[]
914,Quinoline and its strong acid salts,https://oehha.ca.gov/chemicals/quinoline-and-its-strong-acid-salts,['10/24/1997'],[]
915,Quizalofop-ethyl,https://oehha.ca.gov/chemicals/quizalofop-ethyl,['12/24/1999'],Herbicide; not registered for use in CA since 1993.
916,Radionuclides,https://oehha.ca.gov/chemicals/radionuclides,['07/01/1989'],[]
917,Radium-226,https://oehha.ca.gov/chemicals/radium-226,[],Naturally occurring product of uranium decay. Former component of cosmetic and medical products.
918,Radium-228,https://oehha.ca.gov/chemicals/radium-228,[],Naturally occurring product of thorium decay.
919,Reserpine,https://oehha.ca.gov/chemicals/reserpine,['10/01/1989'],"Medicine (antipsychotic, antihypertensive), veterinary medicine (tranquilizer)"
920,Residual (heavy) fuel oils,https://oehha.ca.gov/chemicals/residual-heavy-fuel-oils,['10/01/1990'],[]
921,Resmethrin,https://oehha.ca.gov/chemicals/resmethrin,"['07/01/2008', '11/06/1998']",[]
922,Retinol/Retinyl Esters,https://oehha.ca.gov/chemicals/retinolretinyl-esters,['07/01/1989'],[]
923,Ribavirin,https://oehha.ca.gov/chemicals/ribavirin,"['04/01/1990', '02/27/2001']",[]
924,Riddelliine,https://oehha.ca.gov/chemicals/riddelliine,['12/03/2004'],[]
925,Rifampin,https://oehha.ca.gov/chemicals/rifampin,"['02/27/2001', '02/27/2001']",[]
926,Rimsulfuron,https://oehha.ca.gov/chemicals/rimsulfuron,[],Herbicide
927,Rosuvastatin Calcium,https://oehha.ca.gov/chemicals/rosuvastatin-calcium,[],"A Hydroxymethylglutaryl-CoA-Reductase Inhibitor, or statin, that reduces the plasma concentrations of LDL-cholesterol, Apolipoprotein B, and Triglycerides, while increasing HDL-cholesterol levels in patients with hypercholesterolemia and those at risk for cardiovascular diseases"
928,Saccharin,https://oehha.ca.gov/chemicals/saccharin,['10/01/1989'],[]
929,Safrole,https://oehha.ca.gov/chemicals/safrole,['01/01/1988'],"Naturally occurring in small amounts in spices such as cinnamon, nutmeg, sassafras, and black pepper; principal component of brown camphor oil. Formerly used as fragrance and flavoring"
930,"Salted fish, Chinese-style",https://oehha.ca.gov/chemicals/salted-fish-chinese-style,['04/29/2011'],[]
931,sec-butylbenzene,https://oehha.ca.gov/chemicals/sec-butylbenzene,[],solvent
932,Secobarbital Sodium,https://oehha.ca.gov/chemicals/secobarbital-sodium,['10/01/1992'],[]
933,Sedaxane,https://oehha.ca.gov/chemicals/sedaxane,['07/01/2016'],[]
934,Selenium,https://oehha.ca.gov/chemicals/selenium,[],"Power rectifiers and surge protection, photographic toner, anti-dandruff shampoos; production of glass (tinting), alloys, photoelectric cells, rubber, pharmaceuticals, fungicides, insecticides; component of tobacco smoke. Naturally occurring in small amounts in water and some foods."
935,Selenium Sulfide,https://oehha.ca.gov/chemicals/selenium-sulfide,['10/01/1989'],[]
936,Sermorelin Acetate,https://oehha.ca.gov/chemicals/sermorelin-acetate,['08/20/1999'],[]
937,Shale-oils,https://oehha.ca.gov/chemicals/shale-oils,['04/01/1990'],[]
938,"Silica (crystalline, respirable)",https://oehha.ca.gov/chemicals/silica-crystalline-respirable,['10/01/1988'],"Manufacture of glass, abrasives, ceramics, enamels, heat insulators, fire- and acid-prove packing materials; clarifying and filtration agent, molds for castings, decolorizing and purifying oil/petroleum, industrial filler"
939,Silver and silver compounds,https://oehha.ca.gov/chemicals/silver-and-silver-compounds,[],[]
940,Silvex,https://oehha.ca.gov/chemicals/silvex,[],Former agricultural herbicide. Banned for most uses by EPA in 1979; banned altogether in US since 1985
941,Simazine,https://oehha.ca.gov/chemicals/simazine,"['07/15/2016', '07/15/2016']",Herbicide
942,Simvastatin,https://oehha.ca.gov/chemicals/simvastatin,[],Antihyperlipidemic Agent; Anticholesteremic Agent; Hydroxymethylglutaryl-CoA Reductase Inhibitor; Drug/Therapeutic Agent
943,Sodium Cyanide,https://oehha.ca.gov/chemicals/sodium-cyanide,[],[]
944,Sodium dicamba,https://oehha.ca.gov/chemicals/sodium-dicamba,[],Used as a herbicide to control broadleaf weeds
945,Sodium dimethyldithiocarbamate,https://oehha.ca.gov/chemicals/sodium-dimethyldithiocarbamate,['03/30/1999'],"Herbicide, biocide (cutting oils and aqueous systems), coagulant, vulcanizing agent, chelating agent; water treatment (precipitate heavy metal ions); stops polymerization of synthetic latexes in rubber"
946,Sodium Fluoroacetate,https://oehha.ca.gov/chemicals/sodium-fluoroacetate,['11/06/1998'],[]
947,Sodium Hydroxide,https://oehha.ca.gov/chemicals/sodium-hydroxide,[],"Chemical base, acid neutralizer, caustic cleaning agent, solvent, production of paper or fibers (kraft pulping), tissue digestion, dissolving amphoteric metals, saponification (production of hard soap), manufacture of fabric and plastic, food processing, livestock management (cattle dehorning)"
948,Sodium Nitrite,https://oehha.ca.gov/chemicals/sodium-nitrite,[],"Component of heat-transfer salts; chemical in metal treatment & finishing operations; component of detinning solution & multipurpose greases; agent for recovery of tin from scrap; corrosion inhibitor; used for the production of nitroso and isonitroso compounds, diazotization reactions (especially for dyes), and the synthesis of pharmaceuticals and agricultural pesticides"
949,Sodium Saccharin,https://oehha.ca.gov/chemicals/sodium-saccharin,[],Sweetening agent
950,Sodium tetraborate,https://oehha.ca.gov/chemicals/sodium-tetraborate,[],"Pesticide; manufacture of glass, enamels, & other ceramic products; soldering metals; preservative either alone or with other antiseptics against wood fungus; fireproofing fabrics & wood; corrosion inhibitor; bleaching agent for textile; ingredient of detergents and cosmetic products; oxidizer in tooth powder and tooth paste"
951,"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",https://oehha.ca.gov/chemicals/soots-tars-and-mineral-oils-untreated-and-mildly-treated-oils-and-used-engine-oils,['02/27/1987'],[]
952,Spirodiclofen,https://oehha.ca.gov/chemicals/spirodiclofen,['10/08/2010'],[]
953,Spironolactone,https://oehha.ca.gov/chemicals/spironolactone,['05/01/1997'],[]
954,Stanozolol,https://oehha.ca.gov/chemicals/stanozolol,['05/01/1997'],[]
955,Sterigmatocystin,https://oehha.ca.gov/chemicals/sterigmatocystin,['04/01/1988'],"Produced by fungi in genus Aspergillus; found in water-damaged buildings, crusts of molded cheeses, moldy or low-quality food and animal feed"
956,Streptomycin Sulfate,https://oehha.ca.gov/chemicals/streptomycin-sulfate,['01/01/1991'],[]
957,Streptozotocin,https://oehha.ca.gov/chemicals/streptozotocin,"['01/01/1988', '08/20/1999', '08/20/1999', '08/20/1999']","Medicine (antibiotic, chemotherapeutic agent). Naturally produced by Streptomyces achromogenes"
958,Strong inorganic acid mists containing sulfuric acid,https://oehha.ca.gov/chemicals/strong-inorganic-acid-mists-containing-sulfuric-acid,['03/14/2003'],[]
959,Strontium-90,https://oehha.ca.gov/chemicals/strontium-90,[],"Medicine (superficial radiotherapy), heat source, beacon, tracer in medical and agricultural studies, luminous signs, industrial guaging. Found in nuclear fuel waste, nuclear weapon fallout"
960,Styrene,https://oehha.ca.gov/chemicals/styrene,['04/22/2016'],"Precursor to polystyrene and several copolymers; production of plastic, synthetic rubber, insulation and protective coatings, construction materials, vehicle components, food containers; flavoring agent; component of automobile and tobacco smoke"
961,Styrene Oxide,https://oehha.ca.gov/chemicals/styrene-oxide,['10/01/1988'],"Reactive plasticizer or diluent for epoxy resins, treatment of fibers and textiles; production of phenethyl alcohol, styrene glycol and its derivatives; chemical intermediate in production of agricultural and biological chemicals, cosmetics and surface coatings"
962,Sulfallate,https://oehha.ca.gov/chemicals/sulfallate,['01/01/1988'],Pre-emergent selective agricultural herbicide. All products discontinued by the manufacturer in the early 1990s.
963,Sulfasalazine,https://oehha.ca.gov/chemicals/sulfasalazine,"['05/15/1998', '01/29/1999']",[]
964,Sulfates,https://oehha.ca.gov/chemicals/sulfates,[],"Batteries, algaecide, mineral supplements, plaster, detergent and surfactant in personal care prodcts."
965,Sulfur Dioxide,https://oehha.ca.gov/chemicals/sulfur-dioxide,['07/29/2011'],"Product of combustion, including from oil refineries, power plants, and automobile exhaust. Occurs naturally in volcanic and biogenic emissions, and decay of biologic materials."
966,Sulfuric Acid,https://oehha.ca.gov/chemicals/sulfuric-acid,[],"Industrial and domestic cleaning agent; production of fertilizer, insecticide, detergents, synthetic resins, rayon, explosives, dyes, pharmaceuticals, and antifreeze; catalyst"
967,Sulfuryl fluoride,https://oehha.ca.gov/chemicals/sulfuryl-fluoride,[],structural fumigant
968,Sulindac,https://oehha.ca.gov/chemicals/sulindac,"['01/29/1999', '01/29/1999']",[]
969,Sulprofos,https://oehha.ca.gov/chemicals/sulprofos,[],"Non-systemic insecticide with contacty and stomach action. Cholinesterase inhibitor. Used in the control of Lepidoptera, Thysanoptera, Heliothis spp., and other insects in cotton, soya beans, tobacco, vegetables, and tomatoes. /Former use/"
970,Talc containing asbestiform fibers,https://oehha.ca.gov/chemicals/talc-containing-asbestiform-fibers,['04/01/1990'],[]
971,Tamoxifen and its salts,https://oehha.ca.gov/chemicals/tamoxifen-and-its-salts,['09/01/1996'],[]
972,Tamoxifen Citrate,https://oehha.ca.gov/chemicals/tamoxifen-citrate,['07/01/1990'],[]
973,"3,3',4,4'-TCB",https://oehha.ca.gov/chemicals/3344-tcb,[],"Used as dielectric fluids in transformers and capacitors. PCB manufacture in the US was discontinued in 1977, and importation banned in 1979."
974,"3,4,4'5-TCB",https://oehha.ca.gov/chemicals/3445-tcb,[],Byproduct of production of chlorinated organic chemicals
975,Tebuthiuron,https://oehha.ca.gov/chemicals/tebuthiuron,[],Herbicide
976,Temazepam,https://oehha.ca.gov/chemicals/temazepam,['04/01/1990'],[]
977,Teniposide,https://oehha.ca.gov/chemicals/teniposide,['09/01/1996'],[]
978,Terbacil,https://oehha.ca.gov/chemicals/terbacil,['05/18/1999'],[]
979,Teriparatide,https://oehha.ca.gov/chemicals/teriparatide,['08/14/2015'],"anabolic (i.e., bone growing) agent used in the treatment of some forms of osteoporosis"
980,Terrazole,https://oehha.ca.gov/chemicals/terrazole,['10/01/1994'],[]
981,Tert-Amyl methyl ether,https://oehha.ca.gov/chemicals/tert-amyl-methyl-ether,['12/18/2009'],Used as an oxygenate for gasoline (added to increase octane enhancement and to raise the oxygen content in gasoline to help reduce emissions)
982,tert-Butylbenzene,https://oehha.ca.gov/chemicals/tert-butylbenzene,[],"solvent, polymer linking agent"
983,Tertiary butyl alcohol,https://oehha.ca.gov/chemicals/tertiary-butyl-alcohol,[],"Solvent, ethanol denaturant, paint remover ingredient, and gasoline octane booster and oxygenate. It is a chemical intermediate used to produce MTBE and ETBE by reaction with methanol and ethanol, and TBHP by reaction with hydrogen peroxide."
984,Tertiary-Butyl Acetate,https://oehha.ca.gov/chemicals/tertiary-butyl-acetate,[],"Solvent used in the production of lacquers, enamels, inks, adhesives, thinners and industrial cleaners"
985,Testosterone and its esters,https://oehha.ca.gov/chemicals/testosterone-and-its-esters,['04/01/1988'],[]
986,Testosterone Cypionate,https://oehha.ca.gov/chemicals/testosterone-cypionate,['10/01/1991'],[]
987,Testosterone Enanthate,https://oehha.ca.gov/chemicals/testosterone-enanthate,['04/01/1990'],[]
988,Tetrabromobisphenol A,https://oehha.ca.gov/chemicals/tetrabromobisphenol,['10/27/2017'],"Tetrabromobisphenol A is widely used as a reactive flame retardant to produce a bromine-containing epoxy resin and polycarbonate, and as intermediates for the synthesis of other complex flame retardant, also as an additive flame retardant for ABS, HIPS, unsaturated polyester rigid polyurethane foams, adhesives and coatings."
989,"3,3',4,4'-Tetrachloroazobenzene",https://oehha.ca.gov/chemicals/3344-tetrachloroazobenzene,['07/24/2012'],[]
990,"2,3,7,8-Tetrachlorodibenzo-p-dioxin and related compounds",https://oehha.ca.gov/chemicals/2378-tetrachlorodibenzo-p-dioxin-and-related-compounds,"['01/01/1988', '04/01/1991']","Byproduct of manufacture of chlorophenols, hexachlorophene, and herbicides; contaminant of the Agent Orange, PCBs, and pentachlorophenol; component of combustion, including waste incineration and tobacco smoke."
991,"2,3,7,8-Tetrachlorodibenzofuran",https://oehha.ca.gov/chemicals/2378-tetrachlorodibenzofuran,[],"Found in smoke emissions, byproduct of chemical synthesis"
992,"1,1,2,2-Tetrachloroethane",https://oehha.ca.gov/chemicals/1122-tetrachloroethane,['07/01/1990'],"Solvent, degreaser, refrigerant, extractant; ingredient in paints and pesticides. In the US, presently used only as chemical intermediate in chemical synthesis."
993,"1,1,1,2-Tetrachloroethane",https://oehha.ca.gov/chemicals/1112-tetrachloroethane,['09/13/2013'],Solvent; production of wood stains and varnishes
994,Tetrachloroethylene,https://oehha.ca.gov/chemicals/tetrachloroethylene,['04/01/1988'],"Solvent for organic materials used in dry-cleaning, textile processing, and vapor-degreasing; chemical intermediate. Formerly used in medicine as a hookworm vermifuge."
995,"p-a,a,a-Tetrachlorotoluene",https://oehha.ca.gov/chemicals/p-aaa-tetrachlorotoluene,['01/01/1990'],[]
996,Tetrachlorvinphos,https://oehha.ca.gov/chemicals/tetrachlorvinphos,['05/20/2016'],Organophosphate pesticide.
997,Tetraconazole,https://oehha.ca.gov/chemicals/tetraconazole,[],"Triazole fungicide used to control leafspot and powdery mildew on grapes, strawberries, and sugar beets.
 "
